Method	version	sort			version	key
EtFlocSedFi	7667	5			-1	don't use this method
EtFlocSedFiHigh	-1	2			0	use the most current version of the code
Flocculator	7291	3			1 to xxxx	use this version of the code
SedTank	7291	4				
LFOM	7670	1			Use the sort column to rank the methods and then sort them. The order will define the order of the methods in the webpage	
SRSF	-1	10				
PAClCdc	-1	7				
Cdc	-1	8				
Box	-1	9				
EtFlocSedFiLow	7439	6				
EntTank	-1	11				
CDCChemTanks	7587	11				
