3					1	2	3	END						Program Outputs													Program Inputs									Inputs								Outputs						
dimension	component	subcomponent	subsub	Variable Name	English Description	Spanish Description	French Description	variable type	Returned to LabVIEW	Basic Client Inputs	Expert Client Inputs	Design Assumptions	Minor Loss Coefficients	FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Materials List	Floc Hopper	Rapid Mixer	Elevations	User+BOD+LabVIEW+MLC	has source	comments		FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Floc Hopper	Rapid Mix	Materials List		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Inputs	is input		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Outputs	
									172	19	36	58	13	18	92	97	7	0	17	4	29	23	0	0			35	9	58	9	0	8	19	33		0	4	2	0	0	0	111		0	0	0	0	0	0	
EN	Floc	Baffle		EN.FlocBaffle	"0 if plastic, 1 if rigid"	"0 si es pl stico, 1 si es rigido "		0	1						1																																			
Baffle	Complex			Baffle.Complex	"0 if rectangular, 1 if corrugated"	0 si es rectangular. 1 si es corrugado		0				1																																						
L	Sed	Active		L.SedActive	Active length of the sedimentation tank (subtracts out the length taken up by channels and dead length from the lamella	Longitud activa del tanque de sed (resta el espacio ocupado por canales y longitudes redundantes de la lamilla)		0								1																																		
B	Sed	Launder	Orifices	B.SedLaunderOrifices	Actual Center-to-center distance between launder orifices	Distancia de centro a centro entre orificios		0	1							1																																		
B	Sed	Manifold	Port	B.SedManifoldPort	Actual Center-to-center distance between manifold ports	Distancia de centro a centro entre orificios		0	1							1																																		
S	Sed	Module	Pipes	S.SedModulePipes	Actual space between the module pipes	el espacio real entre las tuber¡as del m¢dulo		0	1							1																																		
HL	Rm	Design		HL.RmDesign	Allowable head loss through the rapid mix pipe	P‚rdida de carga admisible a trav‚s del tubo de mezcla r pida 		0				1				1																																		
Alpha	Epsilon			Alpha.Epsilon	Alpha Epsilon for flocculator	Apha Epsilon para floculador 		0	1						1																																			
Alpha	Phi			Alpha.Phi	Alpha Phi for flocculator	Alpha Phi para floculador 		0	1						1																																			
S	Floc	Baffle	SetBackPlastic	S.FlocBaffleSetBackPlastic	Amount of space between end floc bafles and ports connecting channels	Espacio entre pantallas		0	1		1																																							
