3					1	2	3	END						Program Outputs													Program Inputs									Inputs								Outputs						
dimension	component	subcomponent	subsub	Variable Name	English Description	Spanish Description	French Description	variable type	Returned to LabVIEW	Basic Client Inputs	Expert Client Inputs	Design Assumptions	Minor Loss Coefficients	FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Materials List	Floc Hopper	Rapid Mixer	Elevations	User+BOD+LabVIEW+MLC	has source	comments		FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Floc Hopper	Rapid Mix	Materials List		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Inputs	is input		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Outputs	
									323	13	25	76	25	24	24	79	8	0	1	6	17	23	0	0			37	9	53	9	0	8	20	34		0	1	0	0	0	0	108		0	0	0	0	0	0	
A	Et			A.Et	Area of the entrance tank	Área del tanque de entrada		0	1								1				1																													
A	Et	Channel	Water	A.EtChannelWater	Cross sectional area of the upper channel flow at the critical depth			0	1												1																													
A	Et	Orifice		A.EtOrifice	Area of the orifice for the entrance tank			0	1												1																													
A	Floc	Entry		A.FlocEntry	Area of the entrance to the flocculator			0	1												1																													
A	Floc	Hopper		A.FlocHopper	Cross sectional area of the floc hopper	Área transversal de la tolva de flóculos		0	1											1																														
A	Floc	Port		A.FlocPort	Area of the floc port			0	1						1																																			
A	Floc	Tank		A.FlocTank	Area of floc tank				1																																									
A	Inlet	Channel		A.InletChannel	Cross Sectional Area Required in the InletChannel			0	1							1																																		
A	Sed	Inlet	Manifold	A.SedInletManifold	Area of the inlet manifold determined by geometry			0	1							1																																		
A	Sed	Manifold		A.SedManifold	Cross sectional area of the slope manifold			0	1																				1																					
A	Sed	Manifold	Entrance	A.SedManifoldEntrance	Area of the port cut in the bottom of the inlet channel to connect to drop chimneys to inlet manifold			0	1							1																		1																
A	Sed	Port		A.SedPort	Sedimentation tank inlet manifold port area 	Área de cada puerto de salida del túnel de distribución		0	1							1																																		
A	Sed	Sludge		A.SedSludge	cross sectional area of the rectangular sludge drain			0	1							1																		1																
A	Sed	Tank		A.SedTank	cross sectional area of entrance tank				1																																									
A	Sludge	Orifices		A.SludgeOrifices	Total area of sludge drain orifices			0	1							1																																		
AC	Entrance	Tank		AC.EntranceTank	AutoCAD command line string to draw the Entrance Tank	Línea de Comando AutoCAD para dibujar el Tanque de Entrada		2	1																																									
AC	Floc	Tank		AC.FlocTank	AutoCAD command line string to draw the Floc Tank	Línea de Comando AutoCAD para dibujar el Tanque de Floculación		2	1																																									
AC	Sed	Tank		AC.SedTank	AutoCAD command line string to draw the Sed Tank	Línea de Comando AutoCAD para dibujar el Tanque de Sedimentación		2	1																																									
acad	version			acad.version	the version of autocad that the drawing code is written for			0	1																																									
Amp	Floc	Baffle		Amp.FlocBaffle	Amplitude of the corrugated baffle material			0	1			1																																						
Amp	Sed	Plate		Amp.SedPlate	Amplitude of curves in plate settlers			0	1			1																																						
AN	Floc	Baffle		AN.FlocBaffle				0	1			1																																						
AN	Floc	Hopper		AN.FlocHopper	"Angle of floc hopper, with respect to SedPlates"				1																																									
AN	Sed	Bottom	Inlet	AN.SedBottomInlet	Angle of the bottom of the sed tank inlet			0	1		1	1																	1																					
AN	Sed	Top	Inlet	AN.SedTopInlet	Angle of the top of the sed tank inlet			0	1		1	1																	1																					
AN	Sed	Plate		AN.SedPlate	Angle of the sedimentation plates	Ángulo de las placas de sedimentación		0	1		1																		1			1																		
B	Floc	Baffle		B.FlocBaffle	Perpendicular center-to-center distance between baffles	Distancia perpendicular de centro a centro entre pantallas 		1	1						1																																			
B	Lfom	Orifice		B.LfomOrifice	Vertical distance between orifices in the lfom			0	1			1																																						
B	Sed	Launder	Orifices	B.SedLaunderOrifices	Center-to-center distance between launder orifices	Distancia de centro a centro entre orificios		0	1		1																		1																					
B	Sed	Pipe		B.SedPipe				0	1	1																																								
B	Sed	Pipe	PlateStand	B.SedPipePlateStand				0	1																																									
B	Sed	Plate		B.SedPlate	Perpendicular center-to-center distance between lamella	Distancia perpendicular entre placas de sedimentación		0	1							1																																		
B	Sed	PlateFrame	Pipes	B.SedPlateFramePipes	Center to center distance between the lamella frame pipes			0	1																									1																
B	Sed	Plate	Horizontal	B.SedPlateHorizontal	Horizontal distance between the lamella (takes slant angle into account)	Distancia horizontal entre la lámela (Tomar en cuenta el grado de inclinación) 		0	1							1																																		
B	Sed	Plate	Min	B.SedPlateMin	Min perpendicular spacing between lamella	Espacio perpendicular mínimo entre lámelas 		0	1		1																		1																					
B	Sed	Port		B.SedPort	Height of a port	Altura de los puerto del túnel de distribución		0	1							1																																		
B	Sed	Sludge	Orifices	B.SedSludgeOrifices	Center-to-center distance between sludge drain orifices	Distancia de centro a centro entre orificios para drenado de lodillo		0	1							1																																		
Baffle	Complex			Baffle.Complex	"0 if rectangular, 1 if corrugated"			0	1			1																																						
C	Alum	Dose	Max	C.AlumDoseMax	Maximum required alum dose	Máxima dosis requerida de sulfato de aluminio		0	1			1																																						
C	Alum	Stock		C.AlumStock	concentration of alum in the stock tank	Concentración de sulfato de aluminio en tanque de almacenamiento		0	1	1																						1																		
C	Alum	Dose	Max	C.AlumDoseMax	Max dose of aluminum sulfate	Dosis máxima sulfato de aluminio		0	1	1																	1						1																	
C	d			C.d				0	1																		1						1																	
Cd	Plt	Weir		Cd.PltWeir	Weir coefficient			0	1			1																	1																					
CP	Floc			CP.Floc	collision potential needed to form large flocs in the flocculator	Colisión potencial necesaria para formación de flóculos grandes en el floculador		0	1		1																	1																						
D	Drill			D.Drill				0	1			1																	1																					
D	Drill	Eng		D.DrillEng	Diameter for drill bits in English units			0	1			1																																						
D	Drill	Met		D.DrillMet	Diameter for drill bits in metric units			0	1			1																																						
D	Drum			D.Drum	Diameter of chemical drums			0	1			1																																						
D	Fcm	LongTube	Max	D.FcmLongTubeMax				0	1																																									
